CaseID,Activity,Duration,Duration Float,Time to conclusion,Passed Time,Step
Case 3608,Assign seriousness,0 days 00:00:00,0.0,31.0087,0.0,1
Case 3608,Take in charge ticket,16 days 00:12:02,16.0084,15.0003,15.0002,2
Case 3608,Resolve ticket,0 days 00:00:07,0.0001,15.0002,15.0003,3
Case 3608,Closed,15 days 00:00:14,15.0002,0.0,31.0087,4
Case 2748,Assign seriousness,0 days 00:00:00,0.0,30.9822,0.0,1
Case 2748,Take in charge ticket,5 days 21:00:01,5.875,25.1072,25.1053,2
Case 2748,Resolve ticket,0 days 00:02:45,0.0019,25.1053,25.1072,3
Case 2748,Closed,25 days 02:31:38,25.1053,0.0,30.9822,4
Case 4284,Assign seriousness,14 days 01:00:34,14.0421,37.1046,-0.0,1
Case 4284,Take in charge ticket,0 days 00:00:07,0.0001,37.1045,37.0016,2
Case 4284,Resolve ticket,0 days 00:00:06,0.0001,37.1044,37.0017,3
Case 4284,Take in charge ticket,0 days 02:27:50,0.1027,37.0017,37.1044,4
Case 4284,Resolve ticket,0 days 00:00:09,0.0001,37.0016,37.1045,5
Case 4284,Closed,37 days 00:02:14,37.0016,-0.0,37.1046,6
Case 1534,Assign seriousness,0 days 00:00:00,0.0,31.0007,0.0,1
Case 1534,Take in charge ticket,12 days 20:41:17,12.862,18.1387,18.1386,2
Case 1534,Resolve ticket,0 days 00:00:07,0.0001,18.1386,18.1387,3
Case 1534,Closed,18 days 03:19:32,18.1386,0.0,31.0007,4
Case 406,Assign seriousness,0 days 00:00:13,0.0002,30.9835,0.0,1
Case 406,Take in charge ticket,0 days 18:16:53,0.7617,30.2218,30.2217,2
Case 406,Resolve ticket,0 days 00:00:06,0.0001,30.2217,30.2218,3
Case 406,Closed,30 days 05:19:17,30.2217,0.0,30.9835,4
Case 4539,Assign seriousness,0 days 00:00:14,0.0002,51.0108,0.0,1
Case 4539,Take in charge ticket,6 days 00:04:18,6.003,45.0078,45.0003,2
Case 4539,Resolve ticket,0 days 00:10:45,0.0075,45.0003,45.0078,3
Case 4539,Closed,45 days 00:00:27,45.0003,0.0,51.0108,4
Case 2118,Assign seriousness,0 days 00:00:00,0.0,33.9945,0.0,1
Case 2118,Take in charge ticket,26 days 05:08:21,26.2141,7.7804,0.0001,2
Case 2118,Resolve ticket,7 days 18:43:42,7.7803,0.0001,7.7804,3
Case 2118,Closed,0 days 00:00:06,0.0001,0.0,33.9945,4
Case 3625,Assign seriousness,0 days 00:00:19,0.0002,44.0169,0.0,1
Case 3625,Take in charge ticket,18 days 01:07:34,18.0469,25.97,15.0002,2
Case 3625,Resolve ticket,10 days 23:16:30,10.9698,15.0002,25.97,3
Case 3625,Closed,15 days 00:00:16,15.0002,0.0,44.0169,4
Case 1621,Assign seriousness,0 days 00:00:00,0.0,31.6388,-0.0,1
Case 1621,Take in charge ticket,16 days 15:05:19,16.6287,15.0101,15.0003,2
Case 1621,Resolve ticket,0 days 00:14:07,0.0098,15.0003,15.0101,3
Case 1621,Closed,15 days 00:00:22,15.0003,-0.0,31.6388,4
Case 390,Assign seriousness,0 days 00:00:00,0.0,44.0073,0.0,1
Case 390,Take in charge ticket,0 days 00:00:22,0.0003,44.007,44.0056,2
Case 390,Resolve ticket,0 days 00:01:57,0.0014,44.0056,44.007,3
Case 390,Closed,44 days 00:08:04,44.0056,0.0,44.0073,4
Case 1941,Assign seriousness,0 days 00:00:00,0.0,31.0064,0.0,1
Case 1941,Take in charge ticket,2 days 00:03:04,2.0021,29.0043,28.9669,2
Case 1941,Resolve ticket,0 days 00:53:53,0.0374,28.9669,29.0043,3
Case 1941,Closed,28 days 23:12:20,28.9669,0.0,31.0064,4
Case 404,Assign seriousness,0 days 00:00:00,0.0,37.8959,-0.0,1
Case 404,Take in charge ticket,22 days 21:29:40,22.8956,15.0003,15.0002,2
Case 404,Resolve ticket,0 days 00:00:12,0.0001,15.0002,15.0003,3
Case 404,Closed,15 days 00:00:19,15.0002,-0.0,37.8959,4
Case 791,Assign seriousness,0 days 00:00:00,0.0,59.0802,0.0,1
Case 791,Take in charge ticket,29 days 01:54:34,29.0796,30.0006,30.0005,2
Case 791,Resolve ticket,0 days 00:00:06,0.0001,30.0005,30.0006,3
Case 791,Closed,30 days 00:00:44,30.0005,0.0,59.0802,4
Case 1485,Assign seriousness,0 days 00:00:00,0.0,42.0507,0.0,1
Case 1485,Take in charge ticket,27 days 01:12:40,27.0505,15.0002,15.0001,2
Case 1485,Resolve ticket,0 days 00:00:06,0.0001,15.0001,15.0002,3
Case 1485,Closed,15 days 00:00:11,15.0001,0.0,42.0507,4
Case 1000,Assign seriousness,0 days 00:00:06,0.0001,44.0051,-0.0,1
Case 1000,Take in charge ticket,0 days 00:00:06,0.0001,44.005,38.7875,2
Case 1000,Resolve ticket,5 days 05:13:13,5.2175,38.7875,44.005,3
Case 1000,Closed,38 days 18:54:04,38.7875,-0.0,44.0051,4
Case 2915,Assign seriousness,0 days 00:00:10,0.0001,40.306,-0.0,1
Case 2915,Take in charge ticket,25 days 07:20:11,25.3057,15.0003,15.0002,2
Case 2915,Resolve ticket,0 days 00:00:11,0.0001,15.0002,15.0003,3
Case 2915,Closed,15 days 00:00:15,15.0002,-0.0,40.306,4
Case 1768,Assign seriousness,0 days 00:00:00,0.0,51.0976,0.0,1
Case 1768,Take in charge ticket,0 days 00:28:42,0.0199,51.0777,47.8849,2
Case 1768,Resolve ticket,3 days 04:37:37,3.1928,47.8849,51.0777,3
Case 1768,Closed,47 days 21:14:19,47.8849,0.0,51.0976,4
Case 1006,Assign seriousness,0 days 00:00:00,0.0,48.0006,-0.0,1
Case 1006,Take in charge ticket,0 days 00:00:11,0.0001,48.0005,48.0004,2
Case 1006,Resolve ticket,0 days 00:00:08,0.0001,48.0004,48.0005,3
Case 1006,Closed,48 days 00:00:34,48.0004,-0.0,48.0006,4
Case 2742,Assign seriousness,0 days 00:00:00,0.0,45.9619,0.0,1
Case 2742,Take in charge ticket,30 days 23:04:41,30.9616,15.0003,15.0002,2
Case 2742,Resolve ticket,0 days 00:00:07,0.0001,15.0002,15.0003,3
Case 2742,Closed,15 days 00:00:18,15.0002,0.0,45.9619,4
